,date,epsActual,epsEstimated,eps_surprise,ticker
22,2020-10-29,0.62,0.37,0.25,AMZN
21,2021-02-02,0.7,0.36,0.33999999999999997,AMZN
20,2021-04-29,0.79,0.48,0.31000000000000005,AMZN
19,2021-07-29,0.76,0.62,0.14,AMZN
18,2021-10-28,0.31,0.45,-0.14,AMZN
17,2022-02-03,1.39,0.19,1.2,AMZN
16,2022-04-28,0.21,0.44,-0.23,AMZN
15,2022-07-28,0.1,0.15,-0.04999999999999999,AMZN
14,2022-10-27,0.2,0.22,-0.01999999999999999,AMZN
13,2023-02-02,0.21,0.15,0.06,AMZN
12,2023-04-27,0.31,0.21,0.1,AMZN
11,2023-08-03,0.65,0.35,0.30000000000000004,AMZN
10,2023-10-26,0.94,0.58,0.36,AMZN
9,2024-02-01,1.0,0.8,0.19999999999999996,AMZN
8,2024-04-30,0.98,0.83,0.15000000000000002,AMZN
7,2024-08-01,1.26,1.03,0.22999999999999998,AMZN
6,2024-10-31,1.43,1.14,0.29000000000000004,AMZN
5,2025-02-06,1.86,1.49,0.3700000000000001,AMZN
4,2025-05-01,1.59,1.37,0.21999999999999997,AMZN
3,2025-07-31,1.68,1.31,0.3699999999999999,AMZN
2,2025-10-30,,1.57,,AMZN
133,1993-01-25,0.28,0.24,0.040000000000000036,XOM
132,1993-04-23,0.23,0.24,-0.009999999999999981,XOM
131,1993-07-23,0.25,0.22,0.03,XOM
130,1993-10-25,0.21,0.19,0.01999999999999999,XOM
129,1994-01-25,0.3,0.23,0.06999999999999998,XOM
128,1994-04-22,0.22,0.21,0.010000000000000009,XOM
127,1994-07-25,0.18,0.18,0.0,XOM
126,1994-10-24,0.23,0.2,0.03,XOM
125,1995-01-23,0.3,0.27,0.02999999999999997,XOM
124,1995-04-24,0.33,0.27,0.06,XOM
123,1995-07-20,0.33,0.29,0.040000000000000036,XOM
122,1995-10-23,0.3,0.29,0.010000000000000009,XOM
121,1996-01-22,0.32,0.31,0.010000000000000009,XOM
120,1996-04-22,0.35,0.33,0.019999999999999962,XOM
119,1996-07-22,0.32,0.33,-0.010000000000000009,XOM
118,1996-10-21,0.31,0.3,0.010000000000000009,XOM
117,1997-01-21,0.42,0.38,0.03999999999999998,XOM
116,1997-04-21,0.44,0.41,0.030000000000000027,XOM
115,1997-07-21,0.4,0.35,0.050000000000000044,XOM
114,1997-10-21,0.37,0.35,0.020000000000000018,XOM
113,1998-01-21,0.5,0.37,0.13,XOM
112,1998-04-21,0.38,0.34,0.03999999999999998,XOM
111,1998-07-21,0.33,0.32,0.010000000000000009,XOM
110,1998-10-21,0.29,0.29,0.0,XOM
109,1999-01-21,0.31,0.3,0.010000000000000009,XOM
108,1999-04-21,0.24,0.23,0.009999999999999981,XOM
107,1999-07-21,0.25,0.27,-0.020000000000000018,XOM
106,1999-10-25,0.31,0.3,0.010000000000000009,XOM
105,2000-01-25,0.39,0.38,0.010000000000000009,XOM
104,2000-04-25,0.48,0.44,0.03999999999999998,XOM
103,2000-07-25,0.59,0.53,0.05999999999999994,XOM
102,2000-10-24,0.61,0.45,0.15999999999999998,XOM
101,2001-01-24,0.73,0.62,0.10999999999999999,XOM
100,2001-04-23,0.37,0.67,-0.30000000000000004,XOM
99,2001-07-24,0.64,0.65,-0.010000000000000009,XOM
98,2001-10-23,0.48,0.51,-0.030000000000000027,XOM
97,2002-01-23,0.42,0.39,0.02999999999999997,XOM
96,2002-04-23,0.31,0.4,-0.09000000000000002,XOM
95,2002-08-01,0.39,0.46,-0.07,XOM
94,2002-10-31,0.44,0.43,0.010000000000000009,XOM
93,2003-01-30,0.56,0.5,0.06000000000000005,XOM
92,2003-05-01,0.71,0.7,0.010000000000000009,XOM
91,2003-07-31,0.62,0.56,0.05999999999999994,XOM
90,2003-10-30,0.55,0.62,-0.06999999999999995,XOM
89,2004-01-29,0.68,0.58,0.10000000000000009,XOM
88,2004-04-29,0.83,0.75,0.07999999999999996,XOM
